"Date (Fall and Summer) ","Flight Direction Nearest degree ","CalcSpeed (Mph) (not adjusted for wind)","Evening (e)/ Morning (m) or Detection# ","Filtered out New GE","Filtered out Siemens 2.3","Filtered out Siemens 3.0"
10/11/06,200,33.98,"E","N","N","N"
10/11/06,170,30.58,"E","N","N","Y"
10/11/06,170,34.9,"E","Y","Y","Y"
10/11/06,210,34.9,"E","Y","Y","Y"
10/11/06,210,34.9,"E","Y","Y","Y"
10/11/06,210,34.9,"E","Y","Y","Y"
10/11/06,160,34.9,"E","Y","Y","Y"
10/11/06,195,33.98,"E","N","N","N"
10/11/06,195,33.98,"E","N","N","N"
10/11/06,310,41.88,"E","N","N","N"
10/11/06,215,40.77,"E","N","N","N"
10/11/06,190,34.9,"E","Y","Y","Y"
10/11/06,190,30.58,"E","N","N","Y"
10/12/06,185,33.98,"M","N","N","N"
10/12/06,195,34.9,"M","Y","Y","Y"
10/12/06,190,33.98,"M","N","N","Y"
10/12/06,202,34.9,"M","Y","Y","Y"
10/12/06,202,34.9,"M","Y","Y","Y"
10/12/06,210,34.9,"M","Y","Y","N"
10/12/06,200,33.98,"E","N","N","Y"
10/12/06,210,33.98,"E","N","Y","Y"
10/12/06,210,33.98,"E","N","Y","Y"
10/12/06,210,33.98,"E","N","Y","Y"
10/12/06,230,33.98,"E","N","Y","Y"
10/12/06,235,33.98,"E","N","N","N"
10/12/06,220,33.98,"E","N","N","N"
10/12/06,225,33.98,"E","N","Y","Y"
10/12/06,255,37.37,"E","N","N","N"
10/12/06,215,33.98,"E","N","Y","Y"
10/12/06,230,40.77,"E","N","N","N"
10/12/06,190,33.98,"E","N","N","Y"
10/12/06,220,40.77,"E","N","N","N"
10/12/06,225,37.37,"E","N","Y","Y"
10/12/06,225,37.37,"E","N","Y","Y"
10/12/06,225,37.37,"E","N","Y","Y"
10/12/06,225,37.37,"E","N","Y","Y"
10/12/06,195,38.39,"E","Y","Y","Y"
10/13/06,210,34.9,"M","Y","Y","Y"
10/14/06,195,34.9,"E","Y","Y","Y"
10/14/06,195,34.9,"E","Y","Y","Y"
10/14/06,246,45.37,"E","Y","Y","Y"
10/15/06,250,33.98,"E","N","N","N"
10/15/06,260,34.9,"E","Y","Y","Y"
10/15/06,190,31.41,"E","Y","Y","Y"
10/15/06,110,33.98,"E","N","N","N"
10/15/06,245,33.98,"E","N","N","N"
10/15/06,275,33.98,"E","N","N","N"
10/16/06,105,33.98,"M","N","N","N"
10/16/06,200,34.9,"M","Y","Y","Y"
10/16/06,100,33.98,"M","N","N","N"
10/16/06,70,33.98,"M","N","N","N"
10/16/06,120,30.58,"M","N","N","N"
10/16/06,230,30.58,"M","N","N","N"
10/16/06,105,30.58,"M","N","N","N"
10/16/06,240,34.9,"M","N","Y","Y"
10/18/06,290,33.98,"M","N","N","N"
10/18/06,250,33.98,"M","N","N","N"
10/18/06,140,34.9,"M","Y","Y","Y"
10/18/06,315,33.98,"M","N","N","N"
10/18/06,155,33.98,"M","N","N","Y"
10/18/06,20,33.98,"M","N","N","N"
10/11/06,235,45.37,"E","Y","Y","Y"
10/11/06,80,45.37,"E","Y","Y","Y"
10/11/06,200,41.88,"E","Y","Y","Y"
10/11/06,200,41.88,"E","Y","Y","Y"
10/11/06,0,34.9,"E","Y","Y","Y"
10/11/06,250,41.88,"E","Y","Y","Y"
10/11/06,80,45.37,"E","Y","Y","Y"
10/11/06,80,45.37,"E","Y","Y","Y"
10/11/06,265,48.86,"E","Y","Y","Y"
10/11/06,230,45.37,"E","Y","Y","Y"
10/11/06,50,41.88,"E","Y","Y","Y"
10/11/06,150,40.77,"E","N","N","N"
10/11/06,105,55.84,"E","Y","Y","Y"
10/11/06,155,52.35,"E","Y","Y","Y"
10/11/06,195,30.58,"E","N","N","Y"
10/11/06,15,31.41,"E","Y","Y","Y"
10/11/06,180,34.9,"E","Y","Y","Y"
10/12/06,60,34.9,"M","Y","Y","Y"
10/12/06,210,34.9,"M","Y","Y","Y"
10/12/06,190,34.9,"M","Y","Y","Y"
10/12/06,0,34.9,"M","Y","Y","Y"
10/12/06,150,40.77,"M","N","N","Y"
10/12/06,150,34.9,"M","Y","Y","Y"
10/12/06,200,34.9,"M","Y","Y","Y"
10/12/06,68,34.9,"M","Y","Y","Y"
10/12/06,205,34.9,"M","Y","Y","Y"
10/12/06,190,34.9,"M","Y","Y","Y"
10/12/06,70,34.9,"M","Y","Y","Y"
10/12/06,190,33.98,"M","Y","Y","Y"
10/12/06,185,34.9,"M","Y","Y","Y"
10/12/06,140,30.58,"M","N","N","N"
10/12/06,60,38.39,"M","Y","Y","Y"
10/12/06,75,34.9,"M","Y","Y","Y"
10/12/06,210,34.9,"M","Y","Y","Y"
10/12/06,75,33.98,"M","Y","Y","Y"
10/12/06,75,34.9,"M","Y","Y","Y"
10/12/06,70,34.9,"M","Y","Y","Y"
10/12/06,205,40.77,"E","N","N","N"
10/12/06,190,34.9,"E","Y","Y","Y"
10/12/06,205,38.39,"E","Y","Y","Y"
10/12/06,200,41.88,"E","Y","Y","Y"
10/12/06,200,41.88,"E","Y","Y","Y"
10/12/06,90,41.88,"E","Y","Y","Y"
10/12/06,85,41.88,"E","Y","Y","Y"
10/12/06,85,41.88,"E","Y","Y","N"
10/12/06,230,40.77,"E","N","N","N"
10/12/06,230,40.77,"E","N","N","N"
10/12/06,230,40.77,"E","N","N","N"
10/12/06,230,40.77,"E","N","N","Y"
10/12/06,245,48.86,"E","Y","Y","N"
10/12/06,140,34.9,"E","N","N","N"
10/12/06,100,41.88,"E","Y","Y","Y"
10/12/06,100,41.88,"E","Y","Y","Y"
10/12/06,90,41.88,"E","Y","Y","Y"
10/12/06,90,41.88,"E","Y","Y","Y"
10/12/06,170,33.98,"E","N","N","Y"
10/12/06,190,41.88,"E","Y","Y","N"
10/12/06,130,40.77,"E","N","N","N"
10/12/06,130,40.77,"E","N","N","Y"
10/12/06,200,34.9,"E","Y","Y","Y"
10/12/06,120,41.88,"E","Y","Y","Y"
10/12/06,100,41.88,"E","Y","Y","Y"
10/12/06,210,48.86,"E","Y","Y","Y"
10/12/06,80,41.88,"E","Y","Y","Y"
10/12/06,210,34.9,"E","Y","Y","Y"
10/12/06,198,34.9,"E","Y","Y","Y"
10/13/06,285,34.9,"M","Y","Y","Y"
10/13/06,195,38.39,"M","Y","Y","Y"
10/13/06,340,33.98,"M","N","N","N"
10/13/06,70,31.41,"M","Y","Y","Y"
10/13/06,200,34.9,"M","Y","Y","Y"
10/13/06,95,38.39,"M","Y","Y","Y"
10/13/06,75,38.39,"M","Y","Y","Y"
10/13/06,195,34.9,"M","Y","Y","Y"
10/13/06,112,34.9,"M","N","N","N"
10/13/06,75,34.9,"M","Y","Y","Y"
10/13/06,75,34.9,"M","Y","Y","Y"
10/13/06,75,34.9,"M","Y","Y","Y"
10/13/06,205,34.9,"M","Y","Y","Y"
10/13/06,205,34.9,"M","Y","Y","Y"
10/14/06,120,41.88,"E","Y","Y","Y"
10/14/06,180,38.39,"E","Y","Y","Y"
10/14/06,90,41.88,"E","Y","Y","Y"
10/14/06,105,34.9,"E","N","N","N"
10/14/06,225,41.88,"E","Y","Y","Y"
10/14/06,205,33.98,"E","Y","Y","Y"
10/14/06,205,38.39,"E","Y","Y","Y"
10/14/06,175,33.98,"E","N","N","Y"
10/14/06,200,34.9,"E","Y","Y","Y"
10/14/06,200,34.9,"E","Y","Y","Y"
10/14/06,190,34.9,"E","Y","Y","Y"
10/14/06,180,33.98,"E","N","N","N"
10/14/06,197,34.9,"E","Y","Y","Y"
10/14/06,197,34.9,"E","Y","Y","Y"
10/14/06,210,40.77,"E","N","Y","Y"
10/14/06,200,37.37,"E","N","N","N"
10/15/06,110,33.98,"E ","N","N","N"
10/15/06,250,41.88,"E","Y","Y","Y"
10/15/06,120,34.9,"E","Y","Y","Y"
10/15/06,120,34.9,"E","Y","Y","Y"
