"DATE","TIME","FLTDIR","CALCSPEED","ge_intersect","siemens23_intersect_","siemens30_intersect"
"10/11/2006","6:10",200,33.975,"Y","Y","Y"
"10/11/2006","6:10",170,33.975,"Y","Y","N"
"10/11/2006","6:09",170,34.9,"N","N","N"
"10/11/2006","6:09",210,38.39,"N","N","N"
"10/11/2006","6:08",210,34.9,"N","N","N"
"10/11/2006","6:08",210,34.9,"N","N","N"
"10/11/2006","6:06",160,40.77,"N","N","N"
"10/11/2006","6:06",195,41.88,"Y","Y","Y"
"10/11/2006","6:05",195,33.975,"Y","Y","Y"
"10/11/2006","6:05",310,38.39,"Y","Y","Y"
"10/11/2006","6:04",215,37.3725,"Y","Y","Y"
"10/11/2006","6:04",190,37.3725,"N","N","N"
"10/11/2006","6:04",190,37.3725,"Y","Y","N"
"10/12/2006","6:04",185,40.77,"Y","Y","Y"
"10/12/2006","6:02",195,33.975,"N","N","N"
"10/12/2006","6:02",190,38.39,"Y","Y","N"
"10/12/2006","6:00",202,38.39,"N","N","N"
"10/12/2006","6:00",202,38.39,"N","N","N"
"10/12/2006","6:00",210,34.9,"N","N","N"
"10/12/2006","18:03",200,38.39,"Y","Y","Y"
"10/12/2006","18:02",210,34.9,"Y","N","N"
"10/12/2006","18:01",210,34.9,"Y","N","N"
"10/12/2006","18:01",210,34.9,"Y","N","N"
"10/12/2006","18:01",230,34.9,"Y","N","N"
"10/12/2006","18:00",235,41.88,"Y","Y","Y"
"10/12/2006","18:00",220,33.98,"Y","Y","Y"
"10/12/2006","20:34",225,45.37,"Y","N","N"
"10/12/2006","18:50",255,34.9,"Y","Y","Y"
"10/12/2006","18:50",215,34.9,"Y","N","N"
"10/12/2006","18:32",230,37.3725,"Y","Y","Y"
"10/12/2006","18:31",190,40.77,"Y","Y","N"
"10/12/2006","18:30",220,34.9,"Y","Y","Y"
"10/12/2006","18:30",225,34.9,"Y","N","N"
"10/12/2006","18:29",225,33.975,"Y","N","N"
"10/12/2006","18:29",225,34.9,"Y","N","N"
"10/12/2006","18:29",225,34.9,"Y","N","N"
"10/12/2006","18:29",195,34.9,"N","N","N"
"10/13/2006","18:27",210,33.975,"N","N","N"
"10/14/2006","20:24",195,33.975,"N","N","N"
"10/14/2006","20:19",195,37.3725,"N","N","N"
"10/14/2006","20:15",246,33.975,"N","N","N"
"10/15/2006","18:16",250,41.88,"Y","Y","Y"
"10/15/2006","18:15",260,34.9,"N","N","N"
"10/15/2006","18:13",190,48.86,"N","N","N"
"10/15/2006","18:12",110,40.77,"Y","Y","Y"
"10/15/2006","18:12",245,40.77,"Y","Y","Y"
"10/15/2006","18:12",275,40.77,"Y","Y","Y"
"10/16/2006","18:12",105,40.77,"Y","Y","Y"
"10/16/2006","18:09",200,41.88,"N","N","N"
"10/16/2006","18:09",100,41.88,"Y","Y","Y"
"10/16/2006","18:07",70,41.88,"Y","Y","Y"
"10/16/2006","18:07",120,41.88,"Y","Y","Y"
"10/16/2006","18:07",230,41.88,"Y","Y","Y"
"10/16/2006","18:05",105,38.39,"Y","Y","Y"
"10/16/2006","18:05",240,34.9,"N","N","N"
"10/18/2006","6:17",290,34.9,"Y","Y","Y"
"10/18/2006","6:17",250,34.9,"Y","Y","Y"
"10/18/2006","6:16",140,33.975,"N","N","N"
"10/18/2006","6:16",315,34.9,"Y","Y","Y"
"10/18/2006","6:16",155,34.9,"Y","Y","N"
"10/18/2006","6:13",20,38.39,"Y","Y","Y"
"10/11/2006","6:22",235,38.39,"N","N","N"
"10/11/2006","6:22",80,38.39,"N","N","N"
"10/11/2006","6:22",200,38.39,"N","N","N"
"10/11/2006","6:22",200,38.39,"N","N","N"
"10/11/2006","6:21",0,33.975,"N","N","N"
"10/11/2006","6:21",250,34.9,"N","N","N"
"10/11/2006","6:20",80,30.5775,"N","N","N"
"10/11/2006","6:19",80,38.39,"N","N","N"
"10/11/2006","6:18",265,38.39,"N","N","N"
"10/11/2006","6:16",230,37.3725,"N","N","N"
"10/11/2006","6:16",50,37.3725,"N","N","N"
"10/11/2006","6:15",150,37.3725,"Y","Y","Y"
"10/11/2006","6:15",105,37.3725,"N","N","N"
"10/11/2006","6:14",155,33.975,"N","N","N"
"10/11/2006","6:13",195,37.3725,"Y","Y","N"
"10/11/2006","6:13",15,33.975,"N","N","N"
"10/11/2006","6:11",180,38.39,"N","N","N"
"10/12/2006","5:58",60,33.975,"N","N","N"
"10/12/2006","5:58",210,37.3725,"N","N","N"
"10/12/2006","5:58",190,37.3725,"N","N","N"
"10/12/2006","5:58",0,37.3725,"N","N","N"
"10/12/2006","5:57",150,34.9,"Y","Y","N"
"10/12/2006","5:57",150,33.975,"N","N","N"
"10/12/2006","5:56",200,33.975,"N","N","N"
"10/12/2006","5:55",68,34.9,"N","N","N"
"10/12/2006","5:55",205,34.9,"N","N","N"
"10/12/2006","5:55",190,34.9,"N","N","N"
"10/12/2006","5:54",70,41.88,"N","N","N"
"10/12/2006","5:52",190,30.5775,"N","N","N"
"10/12/2006","5:50",185,33.975,"N","N","N"
"10/12/2006","5:49",140,33.975,"Y","Y","Y"
"10/12/2006","5:43",60,33.975,"N","N","N"
"10/12/2006","5:42",75,33.975,"N","N","N"
"10/12/2006","5:40",210,33.975,"N","N","N"
"10/12/2006","5:39",75,34.9,"N","N","N"
"10/12/2006","5:35",75,33.975,"N","N","N"
"10/12/2006","5:16",70,33.975,"N","N","N"
"10/12/2006","6:21",205,33.975,"Y","Y","Y"
"10/12/2006","5:21",190,34.9,"N","N","N"
"10/12/2006","5:06",205,30.5775,"N","N","N"
"10/12/2006","4:55",200,30.5775,"N","N","N"
"10/12/2006","4:44",200,30.5775,"N","N","N"
"10/12/2006","4:34",90,33.975,"N","N","N"
"10/12/2006","4:33",85,33.975,"N","N","N"
"10/12/2006","4:30",85,34.9,"N","N","N"
"10/12/2006","4:25",230,33.975,"Y","Y","Y"
"10/12/2006","20:34",230,33.98,"Y","Y","Y"
"10/12/2006","20:18",230,33.98,"Y","Y","Y"
"10/12/2006","19:53",230,33.98,"Y","Y","Y"
"10/12/2006","19:18",245,31.41,"N","N","N"
"10/12/2006","19:01",140,34.9,"Y","Y","Y"
"10/12/2006","18:47",100,33.98,"N","N","N"
"10/12/2006","18:41",100,38.39,"N","N","N"
"10/12/2006","18:40",90,34.9,"N","N","N"
"10/12/2006","18:40",90,34.9,"N","N","N"
"10/12/2006","18:28",170,37.37,"Y","Y","N"
"10/12/2006","18:28",190,37.37,"N","N","N"
"10/12/2006","18:27",130,38.39,"Y","Y","Y"
"10/12/2006","18:22",130,33.98,"Y","Y","Y"
"10/12/2006","18:22",200,33.98,"N","N","N"
"10/12/2006","18:12",120,40.77,"N","N","N"
"10/12/2006","18:12",100,40.77,"N","N","N"
"10/12/2006","18:09",210,34.9,"N","N","N"
"10/12/2006","18:09",80,34.9,"N","N","N"
"10/12/2006","18:08",210,33.98,"N","N","N"
"10/12/2006","18:03",198,38.39,"N","N","N"
"10/13/2006","18:27",285,38.39,"N","N","N"
"10/13/2006","18:25",195,33.975,"N","N","N"
"10/13/2006","18:22",340,41.88,"Y","Y","Y"
"10/13/2006","18:21",70,34.9,"N","N","N"
"10/13/2006","18:11",200,41.88,"N","N","N"
"10/13/2006","18:07",95,38.39,"N","N","N"
"10/13/2006","18:06",75,41.88,"N","N","N"
"10/13/2006","6:19",195,34.9,"N","N","N"
"10/13/2006","6:19",112,34.9,"Y","Y","Y"
"10/13/2006","6:18",75,34.9,"N","N","N"
"10/13/2006","6:18",75,34.9,"N","N","N"
"10/13/2006","6:18",75,34.9,"N","N","N"
"10/13/2006","6:17",205,34.9,"N","N","N"
"10/13/2006","6:16",205,34.9,"N","N","N"
"10/14/2006","6:14",120,38.39,"N","N","N"
"10/14/2006","6:10",180,38.39,"N","N","N"
"10/14/2006","6:06",90,34.9,"N","N","N"
"10/14/2006","6:04",105,31.41,"Y","Y","Y"
"10/14/2006","6:03",225,33.98,"N","N","N"
"10/14/2006","6:03",205,38.39,"N","N","N"
"10/14/2006","5:47",205,34.9,"N","N","N"
"10/14/2006","4:23",175,34.9,"Y","Y","N"
"10/14/2006","20:43",200,38.39,"N","N","N"
"10/14/2006","20:40",200,37.3725,"N","N","N"
"10/14/2006","20:40",190,37.3725,"N","N","N"
"10/14/2006","20:40",180,37.3725,"Y","Y","Y"
"10/14/2006","20:40",197,37.3725,"N","N","N"
"10/14/2006","20:33",197,40.77,"N","N","N"
"10/14/2006","20:32",210,33.975,"Y","N","N"
"10/14/2006","20:25",200,40.77,"Y","Y","Y"
"10/15/2006","20:12",110,33.975,"Y","Y","Y"
"10/15/2006","20:06",250,33.975,"N","N","N"
"10/15/2006","20:02",120,33.975,"N","N","N"
"10/15/2006","19:15",120,33.975,"N","N","N"
"10/15/2006","19:15",120,33.975,"N","N","N"
"10/15/2006","19:15",288,33.975,"N","N","N"
"10/15/2006","18:51",185,33.975,"N","N","N"
"10/15/2006","18:44",185,34.9,"N","N","N"
"10/15/2006","18:37",90,34.9,"Y","Y","Y"
"10/15/2006","18:30",150,41.88,"N","N","N"
